"Plot","Species","Cover"
11,"Lathyrus pratensis",15
11,"Lolium perenne",37.5
11,"Lotus pedunculatus",5
11,"Malva moschata",1
11,"Malva sylvestris",0.1
11,"Medicago arabica",1
11,"Medicago lupulina",1
11,"Plantago lanceolata",37.5
11,"Rhinanthus minor",1
11,"Rumex acetosa",1
11,"Rumex aquitanicus",1
11,"Sherardia arvensis",1
11,"Trifolium dubium",1
11,"Trifolium pratense",37.5
11,"Trifolium repens",37.5
11,"Trifolium scabrum",15
11,"Trisetum flavescens",37.5
11,"Vicia cracca",1
11,"Vicia sativa",1
12,"Achillea millefolium",1
12,"Agrostis capillaris",15
12,"Anisantha sterilis",1
12,"Anthoxanthum odoratum",15
12,"Arrhenatherum elatius",37.5
12,"Astrantia major",0.1
12,"Bromus hordeaceus",15
12,"Campanula rapunculus",1
12,"Centaurea nigra",5
12,"Clinopodium vulgare",5
12,"Crepis capillaris",15
12,"Crepis vesicaria",1
12,"Cynosurus cristatus",37.5
12,"Dactylis glomerata",15
12,"Echium vulgare",1
12,"Euphorbia hyberna",0.1
12,"Galium verum",5
12,"Geranium dissectum",0.1
12,"Geranium pyrenaicum",1
12,"Geranium sanguineum",1
12,"Helianthemum nummularium",0.1
12,"Heracleum sphondylium",5
12,"Hypochaeris radicata",1
12,"Knautia nevadensis",15
12,"Lathyrus pratensis",5
12,"Linum bienne",15
12,"Lolium perenne",5
12,"Lotus pedunculatus",5
12,"Malva moschata",5
12,"Medicago lupulina",5
12,"Pimpinella saxifraga",1
12,"Plantago lanceolata",37.5
12,"Prunella grandiflora",1
12,"Prunella vulgaris",1
12,"Ranunculus acris",1
12,"Rhinanthus angustifolius",37.5
12,"Rumex acetosa",5
12,"Sanguisorba minor",37.5
12,"Stellaria graminea",1
12,"Taraxacum officinale",1
12,"Trifolium campestre",5
12,"Trifolium dubium",5
12,"Trifolium pratense",37.5
12,"Trifolium repens",37.5
12,"Trisetum flavescens",15
12,"Vicia hirsuta",1
13,"Anisantha sterilis",5
13,"Anthemis arvensis",15
13,"Anthyllis vulneraria",0.1
13,"Arrhenatherum elatius",37.5
13,"Astrantia major",0.1
13,"Briza media",5
13,"Bromus racemosus",1
13,"Campanula rapunculus",0.1
13,"Centaurea scabiosa",5
13,"Chaerophyllum aureum",5
13,"Cirsium pannonicum",0.1
13,"Colchicum autumnale",0.1
13,"Crepis capillaris",37.5
13,"Crepis vesicaria",5
13,"Cynosurus cristatus",37.5
13,"Cynosurus echinatus",5
13,"Dactylis glomerata",15
13,"Echium vulgare",1
13,"Eryngium bourgatii",0.1
13,"Festuca nigrescens",5
13,"Galium verum",5
13,"Geranium columbinum",1
13,"Geranium dissectum",1
13,"Geranium sanguineum",5
13,"Helleborus viridis",0.1
13,"Heracleum sphondylium",1
13,"Holcus lanatus",15
13,"Iris latifolia",5
13,"Knautia nevadensis",37.5
13,"Lathyrus pratensis",15
13,"Linum bienne",15
13,"Lolium perenne",5
13,"Medicago lupulina",5
13,"Phleum pratense",5
13,"Plantago lanceolata",15
13,"Rhinanthus angustifolius",37.5
13,"Rumex acetosa",5
13,"Sanguisorba minor",37.5
13,"Schedonorus pratensis",5
13,"Silene vulgaris",1
13,"Stachys recta",0.1
13,"Tanacetum corymbosum",0.1
13,"Tragopogon pratensis",1
13,"Trifolium campestre",15
13,"Trifolium pratense",15
13,"Trifolium repens",15
13,"Trifolium scabrum",15
13,"Trisetum flavescens",5
13,"Vicia tenuifolia",5
14,"Agrimonia eupatoria",1
14,"Anisantha sterilis",5
14,"Anthoxanthum odoratum",1
14,"Anthyllis vulneraria",0.1
14,"Arrhenatherum elatius",15
14,"Astrantia major",0.1
14,"Ballota nigra",15
14,"Bellis perennis",1
14,"Brachypodium sylvaticum",1
14,"Briza media",1
14,"Bromus hordeaceus",15
14,"Chaerophyllum hirsutum",0.1
14,"Cirsium pannonicum",1
14,"Crepis capillaris",15
14,"Crepis vesicaria",5
14,"Cynosurus cristatus",15
14,"Cynosurus echinatus",1
14,"Dactylis glomerata",15
14,"Daucus carota",15
14,"Echium vulgare",15
14,"Geranium columbinum",1
14,"Geranium dissectum",5
14,"Geranium pyrenaicum",1
14,"Geranium sanguineum",1
14,"Holcus lanatus",15
14,"Hypericum perforatum",1
14,"Hypochaeris radicata",1
14,"Knautia nevadensis",15
14,"Leucanthemum ircutianum",0.1
14,"Linum bienne",15
14,"Lolium perenne",1
14,"Lotus corniculatus",37.5
14,"Malva sylvestris",1
14,"Medicago lupulina",15
14,"Origanum vulgare",1
14,"Plantago lanceolata",37.5
14,"Plantago major",5
14,"Poa pratensis",15
14,"Prunella grandiflora",1
14,"Prunella vulgaris",5
14,"Ranunculus acris",1
14,"Rhinanthus angustifolius",15
14,"Rumex acetosa",5
14,"Sanguisorba minor",37.5
14,"Schedonorus pratensis",15
14,"Tanacetum corymbosum",5
14,"Tragopogon pratensis",1
14,"Trifolium pratense",37.5
14,"Trifolium repens",15
14,"Trisetum flavescens",15
14,"Verbena officinalis",0.1
14,"Vicia cracca",1
15,"Agrostis capillaris",5
15,"Anthemis arvensis",5
15,"Anthoxanthum odoratum",5
15,"Arrhenatherum elatius",37.5
15,"Bromus hordeaceus",37.5
15,"Campanula rapunculus",0.1
15,"Centaurea nigra",1
15,"Cerastium diffusum",1
15,"Chaerophyllum aureum",5
15,"Cirsium arvense",1
15,"Convolvulus arvensis",0.1
15,"Crepis capillaris",15
15,"Crepis vesicaria",1
15,"Cynosurus cristatus",15
15,"Dactylis glomerata",15
15,"Echium vulgare",0.1
15,"Festuca nigrescens",5
15,"Geranium dissectum",5
15,"Geranium pyrenaicum",1
15,"Geranium sanguineum",1
15,"Heracleum sphondylium",15
15,"Holcus lanatus",37.5
15,"Hypochaeris radicata",1
15,"Knautia nevadensis",5
15,"Lathyrus pratensis",5
15,"Linum bienne",15
15,"Lolium perenne",15
15,"Malva moschata",1
15,"Phleum pratense",5
15,"Plantago lanceolata",62.5
15,"Poa pratensis",5
15,"Rhinanthus angustifolius",15
15,"Rumex acetosa",1
15,"Rumex aquitanicus",1
15,"Stellaria graminea",1
15,"Tragopogon pratensis",1
15,"Trifolium dubium",5
15,"Trifolium pratense",37.5
15,"Trifolium repens",37.5
15,"Trifolium scabrum",1
15,"Trisetum flavescens",5
15,"Urtica dioica",1
15,"Vicia cracca",5
15,"Vicia sativa",1
16,"Achillea millefolium",5
16,"Agrostis capillaris",37.5
16,"Alchemilla xanthochlora",5
16,"Anthoxanthum odoratum",1
16,"Arrhenatherum elatius",37.5
16,"Asphodelus albus",1
16,"Astrantia major",5
16,"Briza media",5
16,"Bromus hordeaceus",5
16,"Campanula glomerata",1
16,"Centaurea nigra",5
16,"Cerastium pumilum",1
16,"Chaerophyllum aureum",1
16,"Crepis capillaris",5
16,"Crepis lampsanoides",1
16,"Cruciata laevipes",1
16,"Cynosurus cristatus",15
16,"Cynosurus echinatus",1
16,"Dactylis glomerata",37.5
16,"Dactylorhiza maculata",1
16,"Festuca nigrescens",5
16,"Galium aparine",1
16,"Geranium dissectum",1
16,"Heracleum sphondylium",1
16,"Holcus lanatus",37.5
16,"Knautia nevadensis",5
16,"Lathyrus pratensis",15
16,"Leontodon hispidus",5
16,"Lotus corniculatus",5
16,"Phleum pratense",1
16,"Picris hieracioides",5
16,"Plantago lanceolata",15
16,"Poa trivialis",15
16,"Prunella grandiflora",1
16,"Ranunculus acris",15
16,"Rhinanthus angustifolius",15
16,"Rumex aquitanicus",1
16,"Rumex obtusifolius",1
16,"Sanguisorba minor",37.5
16,"Stellaria graminea",1
16,"Taraxacum officinale",1
16,"Tragopogon pratensis",1
16,"Trifolium dubium",1
16,"Trifolium pratense",15
16,"Trifolium repens",15
16,"Trisetum flavescens",15
16,"Vicia cracca",5
16,"Viola cornuta",5
17,"Achillea millefolium",37.5
17,"Agrostis capillaris",37.5
17,"Aira caryophyllea",1
17,"Angelica major",1
17,"Anthoxanthum odoratum",1
17,"Asphodelus albus",1
17,"Avenula pubescens",5
17,"Brachypodium rupestre",1
17,"Briza media",5
17,"Bromus hordeaceus",5
17,"Centaurea nigra",5
17,"Cerastium pumilum",1
17,"Crepis capillaris",5
17,"Cruciata laevipes",5
17,"Cynosurus cristatus",5
17,"Dactylis glomerata",5
17,"Euphrasia hirtella",1
17,"Geranium pyrenaicum",5
17,"Holcus lanatus",37.5
17,"Hypochaeris radicata",1
17,"Jasione montana",1
17,"Leontodon hispidus",1
17,"Lotus corniculatus",5
17,"Malva sylvestris",5
17,"Pimpinella saxifraga",1
17,"Plantago lanceolata",37.5
17,"Poa pratensis",1
17,"Prunella grandiflora",5
17,"Ranunculus acris",1
17,"Rhinanthus angustifolius",37.5
17,"Rumex acetosa",5
17,"Rumex aquitanicus",1
17,"Stachys officinalis",5
17,"Stellaria graminea",5
17,"Taraxacum officinale",1
17,"Tragopogon pratensis",1
17,"Trifolium pratense",15
17,"Trifolium repens",37.5
17,"Trisetum flavescens",5
17,"Veronica arvensis",1
17,"Veronica chamaedrys",1
18,"Achillea millefolium",15
18,"Agrostis capillaris",15
18,"Anthoxanthum odoratum",5
18,"Arrhenatherum elatius",15
18,"Asphodelus albus",1
18,"Astrantia major",5
18,"Ballota nigra",0.1
18,"Bellis perennis",1
18,"Briza media",5
18,"Bromus hordeaceus",5
18,"Centaurea nigra",15
18,"Cerastium fontanum",1
18,"Cerastium pumilum",1
18,"Chaerophyllum hirsutum",1
18,"Clinopodium vulgare",0.1
18,"Crepis capillaris",15
18,"Cruciata laevipes",1
18,"Cynosurus cristatus",15
18,"Dactylis glomerata",15
18,"Echium vulgare",1
18,"Equisetum palustre",0.1
18,"Eryngium bourgatii",0.1
18,"Festuca nigrescens",5
18,"Geranium pyrenaicum",1
18,"Heracleum sphondylium",1
18,"Holcus lanatus",37.5
18,"Hypochaeris radicata",5
18,"Knautia nevadensis",15
18,"Lathyrus pratensis",5
18,"Linum bienne",1
18,"Linum catharticum",1
18,"Lolium perenne",5
18,"Lotus corniculatus",15
18,"Malva sylvestris",1
18,"Phleum pratense",5
18,"Pimpinella major",1
18,"Plantago lanceolata",37.5
18,"Plantago major",0.1
18,"Prunella grandiflora",1
18,"Prunella vulgaris",1
18,"Ranunculus acris",15
18,"Rhinanthus angustifolius",15
18,"Rumex acetosa",1
18,"Rumex obtusifolius",1
18,"Sanguisorba minor",37.5
18,"Schedonorus pratensis",5
18,"Silene vulgaris",0.1
18,"Stachys officinalis",1
18,"Stellaria graminea",1
18,"Taraxacum officinale",1
18,"Tragopogon dubius",1
18,"Trifolium dubium",5
18,"Trifolium pratense",15
18,"Trifolium repens",37.5
18,"Trisetum flavescens",15
18,"Vicia cracca",1
19,"Achillea millefolium",5
19,"Agrostis capillaris",37.5
19,"Alchemilla xanthochlora",1
19,"Anthoxanthum odoratum",5
19,"Arrhenatherum elatius",5
19,"Ballota nigra",1
19,"Bromus hordeaceus",15
19,"Centaurea nigra",5
19,"Chaerophyllum aureum",1
19,"Clinopodium vulgare",5
19,"Crepis capillaris",5
19,"Cruciata laevipes",1
19,"Cynosurus cristatus",15
19,"Dactylis glomerata",15
19,"Galeopsis tetrahit",1
19,"Galium verum",5
19,"Heracleum sphondylium",1
19,"Holcus lanatus",62.5
19,"Lathyrus pratensis",15
19,"Linum bienne",5
19,"Lolium perenne",5
19,"Lotus corniculatus",5
19,"Malva sylvestris",1
19,"Phleum pratense",5
19,"Pimpinella major",1
19,"Plantago lanceolata",37.5
19,"Prunella grandiflora",1
19,"Ranunculus acris",15
19,"Rhinanthus angustifolius",15
19,"Rhinanthus minor",1
19,"Rumex acetosa",5
19,"Rumex crispus",1
19,"Stellaria graminea",1
19,"Taraxacum officinale",1
19,"Tragopogon pratensis",5
19,"Trifolium campestre",37.5
19,"Trifolium dubium",1
19,"Trifolium pratense",15
19,"Trifolium repens",15
19,"Trisetum flavescens",37.5
19,"Viola cornuta",5
20,"Agrostis capillaris",37.5
20,"Arrhenatherum elatius",5
20,"Asphodelus albus",1
20,"Astrantia major",15
20,"Bistorta officinalis",0.1
20,"Briza media",15
20,"Campanula patula",1
20,"Centaurea nigra",5
20,"Clinopodium vulgare",5
20,"Cynosurus cristatus",5
20,"Dactylis glomerata",15
20,"Euphrasia hirtella",1
20,"Festuca nigrescens",1
20,"Heracleum sphondylium",1
20,"Holcus lanatus",5
20,"Iris latifolia",1
20,"Knautia nevadensis",5
20,"Lathyrus pratensis",5
20,"Leontodon hispidus",1
20,"Lotus corniculatus",37.5
20,"Pimpinella saxifraga",1
20,"Plantago lanceolata",37.5
20,"Plantago major",1
20,"Platanthera chlorantha",1
20,"Polygala vulgaris",1
20,"Prunella grandiflora",5
20,"Ranunculus acris",5
20,"Rhinanthus angustifolius",15
20,"Sanguisorba minor",15
20,"Thesium pyrenaicum",1
20,"Trifolium pratense",37.5
20,"Trifolium repens",15
20,"Trisetum flavescens",37.5
20,"Trollius europaeus",1
20,"Viola cornuta",1
21,"Achillea millefolium",15
21,"Agrostis capillaris",37.5
21,"Allium oleraceum",5
21,"Arrhenatherum elatius",5
21,"Asphodelus albus",5
21,"Astrantia major",15
21,"Brachypodium sylvaticum",1
21,"Briza media",5
21,"Bromopsis erecta",5
21,"Bromus hordeaceus",5
21,"Campanula rapunculus",1
21,"Centaurea nigra",15
21,"Crepis capillaris",5
21,"Cynosurus cristatus",15
21,"Dactylis glomerata",15
21,"Holcus lanatus",37.5
21,"Hypericum perforatum",1
21,"Hypochaeris radicata",5
21,"Knautia nevadensis",15
21,"Leontodon hispidus",5
21,"Leucanthemum ircutianum",5
21,"Linum bienne",5
21,"Lolium perenne",5
21,"Lotus corniculatus",15
21,"Phleum pratense",1
21,"Plantago lanceolata",37.5
21,"Plantago media",1
21,"Prunella grandiflora",1
21,"Ranunculus acris",15
21,"Rhinanthus minor",15
21,"Rumex acetosa",1
21,"Sanguisorba minor",37.5
21,"Silene vulgaris",1
21,"Stachys officinalis",5
21,"Tragopogon pratensis",1
21,"Trifolium campestre",37.5
21,"Trifolium pratense",15
21,"Trifolium repens",37.5
21,"Trisetum flavescens",15
22,"Achillea millefolium",5
22,"Agrostis capillaris",15
22,"Angelica sylvestris",1
22,"Anthemis arvensis",5
22,"Arrhenatherum elatius",15
22,"Asphodelus albus",1
22,"Bromus hordeaceus",37.5
22,"Centaurea nigra",5
22,"Chaerophyllum aureum",1
22,"Chaerophyllum nodosum",1
22,"Cirsium arvense",5
22,"Crepis capillaris",37.5
22,"Crepis vesicaria",5
22,"Cynosurus cristatus",15
22,"Dactylis glomerata",5
22,"Echium vulgare",1
22,"Festuca nigrescens",1
22,"Heracleum sphondylium",1
22,"Holcus lanatus",37.5
22,"Hypericum perforatum",1
22,"Hypochaeris radicata",5
22,"Iris latifolia",1
22,"Knautia nevadensis",37.5
22,"Lathyrus pratensis",15
22,"Leontodon hispidus",5
22,"Linum bienne",5
22,"Lolium perenne",5
22,"Lotus corniculatus",15
22,"Malva moschata",1
22,"Malva sylvestris",5
22,"Phleum pratense",1
22,"Plantago lanceolata",37.5
22,"Prunella vulgaris",1
22,"Ranunculus acris",5
22,"Rhinanthus minor",5
22,"Rumex acetosa",1
22,"Sanguisorba minor",37.5
