"Taxon","Family","Database","Reference","Country","Population","Scarification","Stratification","GA3","Tmean","Alternating","Light","Germinated","Germinable"
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Germany","K_5603",1,0,0,21,0,1,148,150
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","France","K_10735",1,0,0,20,0,1,20,20
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","France","K_10735",1,0,0,21,0,1,115,120
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","France","K_5326",0,0,0,20,0,1,41,50
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Greece","K_30634",1,0,0,16,1,1,59,60
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_51699",1,0,0,20,0,1,19,20
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Slovenia","K_13699",1,0,0,15,0,1,10,10
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_55206",1,0,0,10,0,1,20,20
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_55206",1,0,0,11,0,1,70,70
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_55206",1,0,0,16,0,1,50,50
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_55295",1,0,0,10,0,1,19,20
"Anthyllis vulneraria","Leguminosae","Enscobase","PAVIA","Italy","PAV_21SO",0,0,0,20,0,1,12,44
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Greece","K_30634",1,0,0,15,1,1,20,20
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Switzerland","K_6714",1,0,0,21,0,1,118,120
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_44323",1,0,0,20,0,1,20,20
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_44323",1,0,0,21,0,1,120,120
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_49650",1,0,0,15,0,1,50,50
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","France","K_5326",1,0,0,20,0,1,44,50
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Greece","K_37884",1,0,0,21,0,1,55,59
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_51699",1,0,0,21,0,1,70,70
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Greece","K_41001",1,0,0,21,0,1,40,40
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Greece","K_5636",1,0,0,21,0,1,113,120
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Hungary","K_35938",1,0,0,20,0,1,46,50
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Hungary","K_35938",1,0,0,21,0,1,100,100
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_55295",1,0,0,11,0,1,70,70
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Switzerland","K_6714",1,0,0,20,0,1,20,20
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_55402",1,0,0,11,0,1,70,70
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_7560",1,0,0,20,0,1,50,50
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Greece","K_31022",1,0,0,20,0,1,20,20
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Greece","K_31022",1,0,0,21,0,1,141,150
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_49650",1,0,0,16,0,1,100,100
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Norway","K_10322",1,0,0,20,0,1,20,20
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_7560",1,0,0,21,0,1,99,100
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Switzerland","K_5625",0,0,0,20,0,1,50,50
"Anthyllis vulneraria","Leguminosae","Enscobase","BGBM","Germany","B_DE-1709999",0,0,0,22,0,1,1,20
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Sweden","K_5599",0,0,0,20,0,1,44,50
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Sweden","K_5599",1,0,0,21,0,1,149,150
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Italy","K_258074",1,0,0,15,0,1,10,10
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","UK","K_55402",1,0,0,10,0,1,20,20
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Italy","K_23254",1,0,0,20,0,1,20,20
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Italy","K_23254",1,0,0,21,0,1,120,120
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Italy","K_36832",1,0,0,20,0,1,50,50
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Italy","K_35411",1,0,0,20,0,1,46,49
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Greece","K_37884",1,0,0,20,0,1,9,9
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Italy","K_36832",1,0,0,21,0,1,150,150
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Slovenia","K_13699",1,0,0,16,0,1,58,70
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Switzerland","K_5625",1,0,0,21,0,1,148,150
"Anthyllis vulneraria","Leguminosae","Enscobase","NBGB","Belgium","BR_1995116915",1,0,0,16,0,1,50,50
"Anthyllis vulneraria","Leguminosae","Enscobase","RBGK","Italy","K_35411",1,0,0,21,0,1,137,150
"Anthyllis vulneraria","Leguminosae","Enscobase","NBGB","Belgium","BR_1992275522",1,0,0,16,0,1,50,50
"Arnica montana","Compositae","Enscobase","RBGK","Italy","K_344115",0,0,0,15,1,1,20,20
"Arnica montana","Compositae","Enscobase","RBGK","Italy","K_207061",0,0,0,10,0,1,15,20
"Arnica montana","Compositae","Enscobase","NBGB","Belgium","BR_1991206805",0,0,0,20,0,1,45,49
"Arnica montana","Compositae","Enscobase","RBGK","Italy","K_344115",0,0,0,15,0,1,19,19
"Arnica montana","Compositae","Enscobase","RBGK","Italy","K_207061",0,0,0,25,0,1,19,20
"Arnica montana","Compositae","Enscobase","RBGK","Italy","K_344115",0,0,0,20,0,1,19,19
"Arnica montana","Compositae","Enscobase","NBGB","Belgium","BR_1991104044",0,0,0,20,0,1,44,44
"Arnica montana","Compositae","Enscobase","BGBM","Austria","B_AT-1920706",0,0,0,22,0,1,0,20
"Arnica montana","Compositae","Enscobase","RBGK","Italy","K_207061",0,0,0,15,0,1,13,20
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS153",0,0,0,9,1,1,32,78
"Arrhenatherum elatius","Poaceae","Enscobase","RBGK","Italy","K_6208",0,0,0,20,0,1,18,20
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","France","SOS200",0,0,1,17,1,1,44,61
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS153",0,0,1,17,1,1,67,81
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","France","SOS200",0,0,0,17,1,1,46,73
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS229",0,0,1,17,1,1,19,21
"Arrhenatherum elatius","Poaceae","Enscobase","PAVIA","Italy","PAV_8PV",0,0,0,20,0,1,50,50
"Arrhenatherum elatius","Poaceae","Enscobase","RBGK","UK","K_52010",0,0,0,16,0,1,96,100
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS153",0,0,1,9,1,1,31,73
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS153",0,0,1,25,1,1,70,78
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS153",0,0,0,17,1,1,60,78
"Arrhenatherum elatius","Poaceae","Enscobase","PAVIA","Italy","PAV_4LC",0,0,0,20,0,1,50,50
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Portugal","SOS167",0,0,0,17,1,1,79,91
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Portugal","SOS167",0,0,1,17,1,1,87,97
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS229",0,0,0,9,1,1,74,99
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS229",0,0,0,17,1,1,15,17
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS153",0,0,0,25,1,1,69,81
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS229",0,0,0,25,1,1,61,90
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS229",0,0,1,9,1,1,73,96
"Arrhenatherum elatius","Poaceae","Enscobase","RBGK","Italy","K_6208",0,0,0,21,0,1,112,120
"Arrhenatherum elatius","Poaceae","Enscobase","RBGK","UK","K_52010",0,0,0,15,0,1,43,47
"Arrhenatherum elatius","Poaceae","SOSPRADERAS","SOSPRADERAS","Spain","SOS229",0,0,1,25,1,1,68,96
"Avenella flexuosa","Poaceae","Enscobase","RBGK","UK","K_28293",0,0,0,15,1,1,14,19
"Avenella flexuosa","Poaceae","Enscobase","RBGK","France","K_67083",0,0,0,21,0,1,39,40
"Avenella flexuosa","Poaceae","Enscobase","RBGK","UK","K_26406",0,0,0,21,0,1,133,146
"Avenella flexuosa","Poaceae","Enscobase","RBGK","UK","K_79088",0,0,0,21,0,1,38,38
"Avenella flexuosa","Poaceae","Enscobase","RBGK","UK","K_28293",0,0,0,16,1,1,15,20
"Avenella flexuosa","Poaceae","Enscobase","RBGK","UK","K_28293",0,0,0,21,0,1,115,120
"Avenella flexuosa","Poaceae","Enscobase","RBGK","France","K_67164",0,0,0,16,0,1,39,39
"Avenella flexuosa","Poaceae","Enscobase","RBGK","UK","K_26406",0,0,0,20,0,1,50,50
"Avenella flexuosa","Poaceae","Enscobase","RBGK","Italy","K_36094",0,0,0,21,0,1,93,117
"Avenella flexuosa","Poaceae","Enscobase","RBGK","Italy","K_36094",0,0,0,20,0,1,18,18
"Avenula pubescens","Poaceae","Enscobase","RBGK","UK","K_65160",0,0,0,16,0,1,36,38
"Bellis perennis","Compositae","Enscobase","RBGK","UK","K_114699",0,0,0,16,0,1,10,10
"Bellis perennis","Compositae","Enscobase","RBGK","UK","K_114699",0,0,0,15,0,1,20,20
"Bellis perennis","Compositae","Enscobase","RBGK","UK","K_539078",0,0,0,20,0,1,19,19
"Bellis perennis","Compositae","Enscobase","RBGK","UK","K_533559",0,0,0,20,0,1,9,9
"Bellis perennis","Compositae","Enscobase","RBGK","UK","K_532046",0,0,0,15,0,1,10,10
"Bellis perennis","Compositae","Enscobase","RBGK","UK","K_532127",0,0,0,20,0,1,18,19
"Bellis perennis","Compositae","Enscobase","RBGK","UK","K_532149",0,0,0,20,0,1,5,5
